dataset,type,model,spearman_vs_gold
STS-B,sentence,sbert_mpnet,0.8745462438979615
STS-B,sentence,sbert_minilm,0.8532728227479615
STS-B,sentence,labse,0.7528101861572782
STS-B,sentence,gte_base,0.8758788741328293
STS12,sentence,sbert_mpnet,0.2448832273324788
STS12,sentence,sbert_minilm,0.18971142052671516
STS12,sentence,labse,0.0016158832851977676
STS12,sentence,gte_base,0.20310818265829395
STS13,sentence,sbert_mpnet,-0.14771478532743576
STS13,sentence,sbert_minilm,-0.18696376044476912
STS13,sentence,labse,-0.08871193544680607
STS13,sentence,gte_base,-0.1418195062758063
STS14,sentence,sbert_mpnet,-0.05215385844322314
STS14,sentence,sbert_minilm,-0.04951052394903792
STS14,sentence,labse,-0.0970922903351035
STS14,sentence,gte_base,-0.062030709079294886
STS15,sentence,sbert_mpnet,-0.002095342434577926
STS15,sentence,sbert_minilm,-0.11805668104452083
STS15,sentence,labse,0.002976699069907495
STS15,sentence,gte_base,-0.1519438404256862
STS16,sentence,sbert_mpnet,-0.02346937875322834
STS16,sentence,sbert_minilm,-0.002905499386881967
STS16,sentence,labse,-0.025333347217876664
STS16,sentence,gte_base,-0.03855038169440498
SimLex-999,word,sbert_mpnet,0.533902718080437
SimLex-999,word,sbert_minilm,0.4445046328093597
SimLex-999,word,labse,0.6017532751809007
SimLex-999,word,gte_base,0.4152839103100387
